Index,Symbol,Strike Price,Premium,Profit %,Delta,Expiration Date,Days to Expiration,Earnings Date,Earnings During Option,Days to Earnings
1,AAPL,155.00,3.50,2.26,0.25,2026-02-08,30,2026-01-24,YES,15
2,AAPL,160.00,2.80,1.75,0.20,2026-02-08,30,2026-01-24,YES,15
3,AAPL,165.00,2.10,1.27,0.15,2026-02-08,30,2026-01-24,YES,15
4,ABT,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
5,ABT,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
6,ABT,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
7,AMD,155.00,3.50,2.26,0.25,2026-02-08,30,2026-02-05,YES,27
8,AMD,160.00,2.80,1.75,0.20,2026-02-08,30,2026-02-05,YES,27
9,AMD,165.00,2.10,1.27,0.15,2026-02-08,30,2026-02-05,YES,27
10,AMZN,155.00,3.50,2.26,0.25,2026-02-08,30,2026-02-08,YES,30
11,AMZN,160.00,2.80,1.75,0.20,2026-02-08,30,2026-02-08,YES,30
12,AMZN,165.00,2.10,1.27,0.15,2026-02-08,30,2026-02-08,YES,30
13,ANET,155.00,3.50,2.26,0.25,2026-02-08,30,2026-02-07,YES,29
14,ANET,160.00,2.80,1.75,0.20,2026-02-08,30,2026-02-07,YES,29
15,ANET,165.00,2.10,1.27,0.15,2026-02-08,30,2026-02-07,YES,29
16,APH,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
17,APH,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
18,APH,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
19,CCJ,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
20,CCJ,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
21,CCJ,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
22,CRWD,155.00,3.50,2.26,0.25,2026-02-08,30,2026-01-28,YES,19
23,CRWD,160.00,2.80,1.75,0.20,2026-02-08,30,2026-01-28,YES,19
24,CRWD,165.00,2.10,1.27,0.15,2026-02-08,30,2026-01-28,YES,19
25,DELL,155.00,3.50,2.26,0.25,2026-02-08,30,2026-02-12,NO,34
26,DELL,160.00,2.80,1.75,0.20,2026-02-08,30,2026-02-12,NO,34
27,DELL,165.00,2.10,1.27,0.15,2026-02-08,30,2026-02-12,NO,34
28,ELF,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
29,ELF,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
30,ELF,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
31,FCX,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
32,FCX,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
33,FCX,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
34,GDX,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
35,GDX,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
36,GDX,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
37,GLD,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
38,GLD,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
39,GLD,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
40,GOOGL,155.00,3.50,2.26,0.25,2026-02-08,30,2026-02-03,YES,25
41,GOOGL,160.00,2.80,1.75,0.20,2026-02-08,30,2026-02-03,YES,25
42,GOOGL,165.00,2.10,1.27,0.15,2026-02-08,30,2026-02-03,YES,25
43,HIMS,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
44,HIMS,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
45,HIMS,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
46,HOOD,155.00,3.50,2.26,0.25,2026-02-08,30,2026-01-27,YES,18
47,HOOD,160.00,2.80,1.75,0.20,2026-02-08,30,2026-01-27,YES,18
48,HOOD,165.00,2.10,1.27,0.15,2026-02-08,30,2026-01-27,YES,18
49,IBIT,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
50,IBIT,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
51,IBIT,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
52,MARA,155.00,3.50,2.26,0.25,2026-02-08,30,2026-01-20,YES,11
53,MARA,160.00,2.80,1.75,0.20,2026-02-08,30,2026-01-20,YES,11
54,MARA,165.00,2.10,1.27,0.15,2026-02-08,30,2026-01-20,YES,11
55,MDLZ,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
56,MDLZ,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
57,MDLZ,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
58,META,155.00,3.50,2.26,0.25,2026-02-08,30,2026-01-31,YES,22
59,META,160.00,2.80,1.75,0.20,2026-02-08,30,2026-01-31,YES,22
60,META,165.00,2.10,1.27,0.15,2026-02-08,30,2026-01-31,YES,22
61,MRK,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
62,MRK,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
63,MRK,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
64,MRVL,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
65,MRVL,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
66,MRVL,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
67,NEM,155.00,3.50,2.26,0.25,2026-02-08,30,N/A,NO,N/A
68,NEM,160.00,2.80,1.75,0.20,2026-02-08,30,N/A,NO,N/A
69,NEM,165.00,2.10,1.27,0.15,2026-02-08,30,N/A,NO,N/A
